"locations.kraj","locations.lat","locations.lon"
"Ajdovšèina","45.8869025","13.909914"
"Bled","46.3683266","14.1145798"
"Bovec","46.3376387","13.551683"
"Brežice","45.9088102","15.5964652"
"Celje","46.2397495","15.2677063"
"Cerknica","45.7955099","14.3621843"
"Èrnomelj","45.5714837","15.1930773"
"Domžale","46.1419417","14.5944171"
"Dravograd","46.589219","15.0246021"
"Gornja Radgona","46.6767099","15.9910846"
"Gornji Grad","46.2961712","14.8062347"
"Grosuplje","45.9557645","14.658899"
"Hrastnik","46.1417288","15.0844894"
"Idrija","46.0029454","14.0278459"
"Ilirska Bistrica","45.570099","14.2418616"
"Izola","45.5374048","13.6600802"
"Jesenice","46.4367047","14.0526057"
"Kamnik","46.2221964","14.6072968"
"Kobarid","46.2456971","13.5786949"
"Koèevje","45.6409009","14.8633128"
"Koper","45.548059","13.7301877"
"Kostanjevica na Krki","45.8449724","15.4217164"
"Kranj","46.2428344","14.3555417"
"Krško","45.9589978","15.4921312"
"Laško","46.1542793","15.2359978"
"Lenart v Slovenskih goricah","46.5834424","15.8262124"
"Lendava","46.5644783","16.453063"
"Litija","46.0592305","14.8266015"
"Ljubljana","46.0569465","14.5057515"
"Ljutomer","46.5193583","16.197814"
"Logatec","45.9170819","14.2285582"
"Maribor","46.5546503","15.6458812"
"Medvode","46.141908","14.4032596"
"Mengeš","46.1659122","14.5719694"
"Metlika","45.6473994","15.3176752"
"Mežica","46.5214145","14.8523952"
"Murska Sobota","46.6581381","16.1610293"
"Nova Gorica","45.9549755","13.6493044"
"Novo mesto","45.8010824","15.1710089"
"Ormož","46.4086282","16.1508154"
"Piran","45.528319","13.5682895"
"Postojna","45.7830298","14.2038417"
"Prevalje","46.5468788","14.9197479"
"Ptuj","46.4199535","15.8696884"
"Radeèe","46.0655001","15.1821191"
"Radovljica","46.3437361","14.1740042"
"Ravne na Koroškem","46.5448323","14.9660445"
"Ribnica","45.7400303","14.7265782"
"Rogaška Slatina","46.2331941","15.6378802"
"Ruše","46.5399962","15.5073987"
"Sevnica","46.0129508","15.2979868"
"Sežana","45.7093519","13.8738185"
"Slovenj Gradec","46.5075851","15.0768162"
"Slovenska Bistrica","46.3919813","15.5727868"
"Slovenske Konjice","46.3369191","15.4214708"
"Šempeter pri Gorici","45.9283576","13.6400285"
"Šentjur","46.218184","15.38742"
"Škofja Loka","46.1409844","14.2811873"
"Šoštanj","46.3782836","15.0461378"
"Tolmin","46.1857188","13.7319838"
"Trbovlje","46.1503563","15.0453138"
"Trebnje","45.9081708","15.0125985"
"Tržiè","46.3621517","14.3083372"
"Turnišèe","46.625456","16.3144961"
"Velenje","46.3622743","15.1106582"
"Vipava","45.8455744","13.9625431"
"Vipavski Križ","45.8812889","13.8636019"
"Višnja Gora","45.9549367","14.7439754"
"Vrhnika","45.966583","14.2973873"
"Zagorje ob Savi","46.1345186","14.9945975"
"Žalec","46.251984","15.1650282"
"Železniki","46.22544","14.1692478"
"Žiri","46.0513094","14.111887"
